,title,total clausulae,pure cretic trochee (-u--x),cretic trochee 1 res (uuu--x),cretic trochee 1 res (-uuu-x),cretic trochee 1 res (-u-uux),cretic trochee 1 res total,cretic trochee 2 res (uuuuu-x),cretic trochee 2 res (uuu-uux),cretic trochee 2 res (-uuuuux),cretic trochee 2 res total,cretic trochee pure+res total,cretic trochee choriambic res,cretic trochee chor 1 res (uuuu--x),cretic trochee chor 1 res (-uuuu-x),cretic trochee chor 1 res (-uu-uux),cretic trochee chor 1 res total,cretic trochee choriambic total,cretic trochee epitrite res,cretic trochee ep 1 res (uuu---x),cretic trochee ep 1 res (-uuu--x),cretic trochee ep 1 res (-u-uu-x),cretic trochee ep 1 res (-u--uux),cretic trochee ep 1 res total,cretic trochee epitrite total,cretic trochee total
36,orationum incertarum frr,70.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,9.0
37,pro ligario,514.0,36.0,6.0,20.0,1.0,27.0,0.0,1.0,1.0,2.0,65.0,5.0,1.0,1.0,0.0,2.0,7.0,4.0,2.0,5.0,1.0,2.0,10.0,14.0,86.0
38,commentarii causarum,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,pro tullio,602.0,16.0,8.0,7.0,7.0,22.0,1.0,1.0,1.0,3.0,41.0,2.0,2.0,0.0,1.0,3.0,5.0,7.0,0.0,6.0,1.0,2.0,9.0,16.0,62.0
40,pro caecina,1314.0,98.0,15.0,26.0,12.0,53.0,1.0,4.0,0.0,5.0,156.0,3.0,6.0,5.0,6.0,17.0,20.0,17.0,2.0,9.0,6.0,6.0,23.0,40.0,216.0
41,in verrem,13472.0,1093.0,169.0,305.0,132.0,606.0,19.0,17.0,9.0,45.0,1744.0,96.0,30.0,21.0,10.0,61.0,157.0,165.0,20.0,132.0,45.0,36.0,233.0,398.0,2299.0
42,de iure civ in artem redig,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,pro rege deiotaro,510.0,50.0,4.0,14.0,1.0,19.0,1.0,1.0,1.0,3.0,72.0,2.0,1.0,1.0,0.0,2.0,4.0,6.0,1.0,3.0,2.0,0.0,6.0,12.0,88.0
44,incertorum librorum fragmenta,36.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0
45,brutus,3320.0,213.0,29.0,65.0,18.0,112.0,11.0,2.0,2.0,15.0,340.0,7.0,4.0,2.0,1.0,7.0,14.0,27.0,3.0,24.0,7.0,7.0,41.0,68.0,422.0
46,de officiis,3792.0,266.0,57.0,130.0,28.0,215.0,16.0,7.0,3.0,26.0,507.0,15.0,21.0,5.0,4.0,30.0,45.0,23.0,3.0,35.0,5.0,12.0,55.0,78.0,630.0
47,de domo sua,1618.0,137.0,16.0,53.0,11.0,80.0,7.0,1.0,0.0,8.0,225.0,5.0,2.0,2.0,3.0,7.0,12.0,10.0,3.0,13.0,2.0,4.0,22.0,32.0,269.0
48,pro sestio,1818.0,203.0,19.0,51.0,16.0,86.0,4.0,0.0,2.0,6.0,295.0,10.0,0.0,1.0,3.0,4.0,14.0,35.0,7.0,18.0,8.0,3.0,36.0,71.0,380.0
49,pro murena,1316.0,96.0,16.0,44.0,18.0,78.0,0.0,2.0,1.0,3.0,177.0,3.0,3.0,5.0,0.0,8.0,11.0,13.0,2.0,13.0,2.0,2.0,19.0,32.0,220.0
50,philippicae,8420.0,712.0,96.0,234.0,61.0,391.0,37.0,7.0,5.0,49.0,1152.0,37.0,23.0,18.0,13.0,54.0,91.0,64.0,13.0,71.0,16.0,22.0,122.0,186.0,1429.0
51,de inventore,4508.0,284.0,45.0,66.0,39.0,150.0,7.0,5.0,7.0,19.0,453.0,28.0,10.0,4.0,11.0,25.0,53.0,74.0,16.0,35.0,18.0,24.0,93.0,167.0,673.0
52,pro rabirio perduellionis reo,354.0,34.0,3.0,9.0,1.0,13.0,2.0,0.0,0.0,2.0,49.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,56.0
53,carmina fragmenta,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,2.0,5.0,12.0
54,epistulae ad quintum fratrem,2868.0,171.0,26.0,57.0,36.0,119.0,9.0,2.0,1.0,12.0,302.0,15.0,5.0,4.0,6.0,15.0,30.0,45.0,13.0,20.0,6.0,16.0,55.0,100.0,432.0
55,in pisonem,1326.0,130.0,21.0,23.0,11.0,55.0,2.0,1.0,0.0,3.0,188.0,4.0,3.0,0.0,1.0,4.0,8.0,11.0,2.0,18.0,4.0,5.0,29.0,40.0,236.0
56,pro quinctio,1340.0,77.0,15.0,15.0,19.0,49.0,1.0,1.0,0.0,2.0,128.0,8.0,3.0,5.0,3.0,11.0,19.0,15.0,5.0,10.0,5.0,2.0,22.0,37.0,184.0
57,facete dicta,76.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,5.0,8.0,16.0
58,in catilinam,1352.0,154.0,11.0,43.0,12.0,66.0,3.0,2.0,1.0,6.0,226.0,3.0,1.0,2.0,2.0,5.0,8.0,10.0,0.0,10.0,3.0,5.0,18.0,28.0,262.0
59,de optimo genere oratorum,214.0,6.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,20.0
60,philosophicorum librorum frr,106.0,5.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,15.0
61,epistulae ad familiares,16120.0,881.0,145.0,286.0,152.0,583.0,32.0,26.0,24.0,82.0,1546.0,139.0,35.0,26.0,44.0,105.0,244.0,245.0,48.0,109.0,50.0,88.0,295.0,540.0,2330.0
62,pro caelio,1056.0,111.0,9.0,33.0,8.0,50.0,4.0,2.0,4.0,10.0,171.0,0.0,2.0,1.0,2.0,5.0,5.0,8.0,5.0,7.0,2.0,3.0,17.0,25.0,201.0
63,pro plancio,1346.0,123.0,16.0,43.0,10.0,69.0,6.0,2.0,0.0,8.0,200.0,3.0,0.0,1.0,2.0,3.0,6.0,10.0,3.0,15.0,4.0,3.0,25.0,35.0,241.0
64,pro scauro,440.0,41.0,3.0,13.0,3.0,19.0,2.0,0.0,1.0,3.0,63.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,7.0,10.0,75.0
65,de lege agraria,1702.0,169.0,12.0,36.0,18.0,66.0,2.0,3.0,0.0,5.0,240.0,7.0,1.0,0.0,3.0,4.0,11.0,21.0,0.0,11.0,4.0,1.0,16.0,37.0,288.0
66,tusculanae disputationes,6772.0,412.0,69.0,157.0,50.0,276.0,18.0,16.0,9.0,43.0,731.0,36.0,16.0,9.0,23.0,48.0,84.0,66.0,14.0,50.0,16.0,24.0,104.0,170.0,985.0
67,rhetorica ad herennium,5156.0,305.0,58.0,74.0,54.0,186.0,21.0,17.0,4.0,42.0,533.0,54.0,18.0,20.0,18.0,56.0,110.0,109.0,29.0,39.0,26.0,24.0,118.0,227.0,870.0
68,pro sulla,1048.0,107.0,6.0,28.0,11.0,45.0,7.0,2.0,1.0,10.0,162.0,8.0,1.0,1.0,0.0,2.0,10.0,8.0,1.0,4.0,1.0,4.0,10.0,18.0,190.0
69,hortensius,116.0,7.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0
70,de oratore,6744.0,587.0,100.0,237.0,59.0,396.0,32.0,8.0,7.0,47.0,1030.0,26.0,13.0,12.0,9.0,34.0,60.0,62.0,10.0,86.0,22.0,13.0,131.0,193.0,1283.0
71,academica,456.0,31.0,5.0,11.0,6.0,22.0,1.0,1.0,1.0,3.0,56.0,2.0,2.0,2.0,1.0,5.0,7.0,6.0,3.0,3.0,0.0,1.0,7.0,13.0,76.0
72,de divinatione,3976.0,279.0,37.0,106.0,17.0,160.0,10.0,8.0,4.0,22.0,461.0,21.0,3.0,3.0,9.0,15.0,36.0,35.0,6.0,34.0,10.0,16.0,66.0,101.0,598.0
73,de provinciis consularibus,530.0,48.0,3.0,31.0,4.0,38.0,1.0,1.0,0.0,2.0,88.0,1.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,3.0,1.0,0.0,4.0,7.0,98.0
74,timaeus,382.0,29.0,4.0,12.0,1.0,17.0,2.0,1.0,0.0,3.0,49.0,2.0,1.0,2.0,0.0,3.0,5.0,2.0,0.0,3.0,2.0,0.0,5.0,7.0,61.0
