title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,total_unartistic,percent_clausulae
epistulae ad atticum book 14,695,65,4,23,31,71.0,17.0,24.0,9.0,66.0,39.0,9.0,1.0,1.0,13.0,6.0,8.0,10.0,14.0,102.0,10.0,11.0,39.0,6.0,7.0,78.0,16.0,41.0,8.0,5.0,463.0,19.0,167.0,0.765079365079365
epistulae ad atticum book 15,750,97,4,59,26,58.0,13.0,29.0,15.0,61.0,50.0,11.0,4.0,3.0,8.0,4.0,8.0,12.0,11.0,113.0,6.0,13.0,36.0,6.0,4.0,100.0,16.0,31.0,15.0,3.0,465.0,23.0,188.0,0.7473200612557427
epistulae ad atticum book 16,696,79,6,30,38,61.0,9.0,20.0,7.0,58.0,40.0,13.0,4.0,1.0,9.0,11.0,9.0,10.0,15.0,98.0,6.0,11.0,30.0,3.0,8.0,73.0,18.0,47.0,18.0,6.0,423.0,32.0,194.0,0.7374392220421394
epistulae ad atticum book 2,805,91,5,19,60,81.0,19.0,27.0,15.0,58.0,44.0,8.0,4.0,1.0,16.0,6.0,8.0,12.0,12.0,137.0,5.0,9.0,46.0,5.0,6.0,85.0,23.0,41.0,17.0,11.0,519.0,18.0,195.0,0.7521008403361344
epistulae ad atticum book 3,492,82,15,11,51,47.0,8.0,9.0,11.0,22.0,38.0,2.0,2.0,2.0,6.0,4.0,2.0,9.0,8.0,66.0,5.0,4.0,20.0,1.0,2.0,65.0,22.0,20.0,6.0,3.0,268.0,26.0,142.0,0.7170731707317073
epistulae ad atticum book 4,731,140,16,44,66,61.0,14.0,22.0,18.0,39.0,38.0,9.0,5.0,6.0,15.0,5.0,4.0,15.0,9.0,112.0,5.0,10.0,34.0,1.0,5.0,82.0,21.0,33.0,8.0,3.0,427.0,17.0,164.0,0.751269035532995
epistulae ad atticum book 5,753,141,15,35,74,41.0,10.0,20.0,14.0,59.0,50.0,6.0,4.0,1.0,13.0,8.0,3.0,14.0,14.0,91.0,4.0,6.0,43.0,0.0,5.0,107.0,17.0,51.0,11.0,3.0,406.0,17.0,206.0,0.6911764705882353
epistulae ad atticum book 6,660,71,8,20,33,53.0,9.0,12.0,18.0,56.0,53.0,11.0,5.0,4.0,12.0,6.0,4.0,8.0,9.0,100.0,7.0,9.0,41.0,1.0,5.0,69.0,17.0,35.0,15.0,11.0,423.0,19.0,166.0,0.7504244482173175
epistulae ad atticum book 7,899,132,17,30,57,71.0,14.0,15.0,18.0,71.0,64.0,10.0,6.0,3.0,19.0,11.0,9.0,12.0,11.0,117.0,9.0,6.0,49.0,3.0,6.0,108.0,16.0,55.0,24.0,11.0,524.0,29.0,243.0,0.7209908735332464
epistulae ad atticum book 8,595,78,12,28,27,52.0,4.0,18.0,10.0,53.0,49.0,9.0,5.0,3.0,6.0,4.0,7.0,8.0,6.0,89.0,2.0,2.0,29.0,1.0,5.0,75.0,20.0,41.0,5.0,2.0,362.0,12.0,155.0,0.723404255319149
epistulae ad atticum book 9,851,116,13,29,54,60.0,19.0,13.0,17.0,60.0,48.0,15.0,8.0,8.0,12.0,8.0,9.0,13.0,12.0,128.0,9.0,6.0,57.0,0.0,9.0,101.0,21.0,47.0,18.0,16.0,511.0,21.0,224.0,0.7238095238095238
epistulae ad brutum,571,54,6,12,32,70.0,16.0,24.0,9.0,63.0,40.0,6.0,6.0,1.0,10.0,5.0,3.0,7.0,10.0,86.0,7.0,5.0,32.0,2.0,5.0,42.0,20.0,31.0,4.0,3.0,407.0,10.0,110.0,0.8065764023210832
epistulae ad brutum br,114,12,0,2,10,2.0,1.0,0.0,2.0,6.0,13.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,13.0,0.0,1.0,3.0,0.0,2.0,17.0,9.0,15.0,2.0,0.0,53.0,6.0,49.0,0.5784313725490197
epistulae ad brutum ci,457,42,6,10,22,68.0,15.0,24.0,7.0,57.0,26.0,6.0,6.0,0.0,8.0,3.0,2.0,6.0,7.0,73.0,7.0,4.0,29.0,2.0,3.0,24.0,11.0,16.0,2.0,3.0,353.0,6.0,62.0,0.8650602409638555
epistulae ad brutum spurious,119,6,0,4,0,4.0,1.0,2.0,2.0,7.0,10.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,4.0,8.0,0.0,2.0,3.0,1.0,2.0,25.0,14.0,12.0,4.0,2.0,54.0,2.0,59.0,0.49557522123893805
epistulae ad familiares,8031,967,243,245,416,867.0,149.0,276.0,151.0,705.0,466.0,100.0,52.0,37.0,119.0,76.0,42.0,143.0,141.0,1452.0,68.0,64.0,373.0,25.0,43.0,808.0,170.0,364.0,133.0,46.0,5349.0,194.0,1715.0,0.784682899207248
epistulae ad quintum fratrem,198,1,0,1,0,38.0,4.0,16.0,1.0,22.0,11.0,5.0,0.0,0.0,3.0,3.0,0.0,6.0,3.0,50.0,0.0,1.0,18.0,1.0,0.0,7.0,0.0,2.0,5.0,0.0,182.0,1.0,15.0,0.9289340101522843
epistulae ad quintum fratrem. 1 ,1228,163,24,45,88,125.0,23.0,38.0,35.0,69.0,91.0,11.0,13.0,1.0,24.0,6.0,8.0,32.0,17.0,201.0,13.0,17.0,50.0,4.0,11.0,147.0,28.0,52.0,10.0,7.0,789.0,32.0,276.0,0.7708920187793428
epistulae fragmenta,138,34,8,7,18,11.0,2.0,5.0,5.0,14.0,8.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,1.0,16.0,0.0,0.0,4.0,1.0,1.0,9.0,1.0,10.0,5.0,0.0,77.0,2.0,27.0,0.7596153846153846
facete dicta,38,5,0,0,2,5.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,5.0,0.0,1.0,20.0,0.0,13.0,0.6060606060606061
hortensius,58,5,0,6,0,7.0,0.0,3.0,1.0,8.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,12.0,0.0,1.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,48.0,1.0,5.0,0.9245283018867925
in caecilium,334,17,8,0,9,69.0,7.0,16.0,10.0,29.0,29.0,3.0,1.0,0.0,8.0,4.0,3.0,3.0,4.0,70.0,1.0,1.0,15.0,0.0,1.0,21.0,6.0,6.0,4.0,0.0,274.0,6.0,43.0,0.8832807570977917
