,title,total clausulae,pure cretic trochee (-u--x),cretic trochee 1 res (uuu--x),cretic trochee 1 res (-uuu-x),cretic trochee 1 res (-u-uux),cretic trochee 1 res total,cretic trochee 2 res (uuuuu-x),cretic trochee 2 res (uuu-uux),cretic trochee 2 res (-uuuuux),cretic trochee 2 res total,cretic trochee pure+res total,cretic trochee choriambic res,cretic trochee chor 1 res (uuuu--x),cretic trochee chor 1 res (-uuuu-x),cretic trochee chor 1 res (-uu-uux),cretic trochee chor 1 res total,cretic trochee choriambic total,cretic trochee epitrite res,cretic trochee ep 1 res (uuu---x),cretic trochee ep 1 res (-uuu--x),cretic trochee ep 1 res (-u-uu-x),cretic trochee ep 1 res (-u--uux),cretic trochee ep 1 res total,cretic trochee epitrite total,cretic trochee total,double/molossus-cretic pure double cretic,double/molossus-cretic pure molossus cretic,double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic 1 res total,double/molossus-cretic pure+res total,double/molossus-cretic choriambic res,double/molossus-cretic chor 1 res (uuuu--ux),double/molossus-cretic chor 1 res (-uuuu-ux),double/molossus-cretic chor 1 res (-uu-uuux),double/molossus-cretic chor 1 res total,double/molossus-cretic chor total,double/molossus-cretic epitrite res,double/molossus-cretic epitrite 1 res (uuu---ux),double/molossus-cretic epitrite 1 res (-uuu--ux),double/molossus-cretic epitrite 1 res (-u-uu-ux),double/molossus-cretic epitrite 1 res total,double/molossus-cretic ep total,double/molossus-cretic total
10,de legibus,2474.0,122.0,11.0,62.0,14.0,87.0,7.0,4.0,1.0,12.0,221.0,11.0,2.0,3.0,1.0,6.0,17.0,21.0,6.0,9.0,3.0,3.0,21.0,42.0,280.0,199.0,114.0,24.0,11.0,3.0,38.0,351.0,28.0,7.0,2.0,1.0,10.0,38.0,23.0,13.0,16.0,1.0,30.0,53.0,442.0
11,topica,1146.0,54.0,12.0,18.0,12.0,42.0,3.0,1.0,5.0,9.0,105.0,7.0,3.0,4.0,1.0,8.0,15.0,16.0,2.0,7.0,6.0,4.0,19.0,35.0,155.0,80.0,44.0,6.0,5.0,2.0,13.0,137.0,14.0,2.0,3.0,0.0,5.0,19.0,13.0,0.0,4.0,3.0,7.0,20.0,176.0
12,cato maior de senectute,1102.0,101.0,14.0,24.0,9.0,47.0,1.0,0.0,0.0,1.0,149.0,6.0,2.0,2.0,0.0,4.0,10.0,7.0,3.0,12.0,4.0,1.0,20.0,27.0,186.0,94.0,34.0,14.0,3.0,1.0,18.0,146.0,14.0,6.0,2.0,3.0,11.0,25.0,6.0,3.0,8.0,1.0,12.0,18.0,189.0
13,in caecilium,668.0,66.0,7.0,15.0,10.0,32.0,1.0,0.0,0.0,1.0,99.0,4.0,1.0,0.0,0.0,1.0,5.0,10.0,3.0,6.0,0.0,3.0,12.0,22.0,126.0,29.0,30.0,3.0,1.0,0.0,4.0,63.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,4.0,8.0,75.0
14,in vatinium,400.0,39.0,1.0,18.0,4.0,23.0,3.0,1.0,0.0,4.0,66.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,8.0,75.0,18.0,18.0,1.0,1.0,0.0,2.0,38.0,2.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,5.0,46.0
15,epistulae ad atticum,23924.0,1084.0,220.0,337.0,239.0,796.0,49.0,50.0,50.0,149.0,2029.0,244.0,60.0,61.0,64.0,185.0,429.0,372.0,103.0,147.0,88.0,140.0,478.0,850.0,3308.0,937.0,817.0,160.0,68.0,43.0,271.0,2025.0,202.0,49.0,21.0,23.0,93.0,295.0,209.0,57.0,104.0,25.0,186.0,395.0,2715.0
16,de natura deorum,4302.0,319.0,51.0,134.0,26.0,211.0,14.0,9.0,6.0,29.0,559.0,22.0,11.0,9.0,13.0,33.0,55.0,25.0,6.0,38.0,8.0,10.0,62.0,87.0,701.0,288.0,124.0,34.0,20.0,5.0,59.0,471.0,41.0,7.0,1.0,2.0,10.0,51.0,25.0,13.0,27.0,1.0,41.0,66.0,588.0
17,pro marcello,300.0,21.0,4.0,9.0,1.0,14.0,1.0,0.0,0.0,1.0,36.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,4.0,7.0,45.0,28.0,7.0,8.0,1.0,0.0,9.0,44.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,7.0,1.0,9.0,9.0,55.0
18,de finibus,5518.0,331.0,49.0,142.0,27.0,218.0,14.0,8.0,5.0,27.0,576.0,25.0,7.0,9.0,11.0,27.0,52.0,46.0,19.0,40.0,16.0,15.0,90.0,136.0,764.0,383.0,228.0,44.0,24.0,11.0,79.0,690.0,61.0,5.0,3.0,7.0,15.0,76.0,43.0,18.0,38.0,4.0,60.0,103.0,869.0
19,pro cluentio,2550.0,251.0,24.0,64.0,26.0,114.0,7.0,3.0,2.0,12.0,377.0,11.0,2.0,2.0,2.0,6.0,17.0,23.0,7.0,21.0,8.0,3.0,39.0,62.0,456.0,72.0,84.0,18.0,10.0,7.0,35.0,191.0,21.0,3.0,3.0,1.0,7.0,28.0,19.0,4.0,14.0,2.0,20.0,39.0,258.0
