title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
pro milone,639,41,13,1,27,97.0,5.0,31.0,10.0,70.0,46.0,5.0,4.0,0.0,13.0,8.0,3.0,14.0,5.0,152.0,9.0,1.0,26.0,1.0,1.0,53.0,15.0,11.0,6.0,2.0,588.0,10.0,1.0
pro murena,657,49,21,9,19,93.0,16.0,44.0,16.0,48.0,57.0,6.0,2.0,2.0,14.0,7.0,6.0,16.0,5.0,144.0,6.0,3.0,30.0,0.0,2.0,51.0,7.0,16.0,3.0,2.0,596.0,12.0,1.0
pro plancio,669,29,10,5,14,121.0,15.0,42.0,10.0,46.0,30.0,10.0,2.0,1.0,12.0,6.0,6.0,13.0,5.0,210.0,7.0,6.0,14.0,0.0,1.0,41.0,15.0,16.0,3.0,0.0,632.0,8.0,1.0
pro quinctio,670,83,30,4,35,75.0,15.0,15.0,18.0,50.0,42.0,2.0,1.0,3.0,18.0,4.0,3.0,16.0,14.0,119.0,8.0,5.0,33.0,1.0,1.0,75.0,16.0,16.0,8.0,1.0,559.0,28.0,1.0
pro rabirio perduellionis reo,174,25,11,5,4,32.0,3.0,8.0,1.0,5.0,18.0,0.0,1.0,0.0,2.0,3.0,1.0,4.0,2.0,37.0,2.0,0.0,6.0,0.0,0.0,16.0,3.0,4.0,0.0,0.0,148.0,1.0,1.0
pro rabirio postumo,302,26,3,11,12,36.0,9.0,9.0,4.0,31.0,24.0,2.0,0.0,1.0,6.0,4.0,2.0,9.0,6.0,56.0,0.0,1.0,14.0,0.0,2.0,34.0,7.0,8.0,4.0,3.0,272.0,4.0,1.0
pro rege deiotaro,255,8,3,1,4,50.0,4.0,14.0,1.0,40.0,21.0,9.0,3.0,0.0,1.0,0.0,1.0,4.0,3.0,49.0,2.0,0.0,9.0,0.0,0.0,21.0,2.0,8.0,2.0,1.0,245.0,2.0,1.0
pro roscio amerino,901,91,43,9,27,79.0,28.0,35.0,19.0,60.0,72.0,14.0,5.0,0.0,18.0,10.0,10.0,17.0,15.0,181.0,12.0,8.0,36.0,2.0,4.0,80.0,23.0,31.0,14.0,8.0,781.0,29.0,1.0
pro roscio comoedo,489,61,11,6,40,54.0,9.0,11.0,11.0,18.0,23.0,2.0,1.0,5.0,6.0,6.0,3.0,3.0,9.0,73.0,8.0,2.0,15.0,0.0,2.0,93.0,14.0,35.0,8.0,3.0,414.0,14.0,1.0
pro scauro,220,38,7,1,8,40.0,3.0,14.0,3.0,14.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,52.0,1.0,2.0,1.0,1.0,1.0,20.0,1.0,6.0,1.0,1.0,174.0,8.0,1.0
pro sestio,909,35,11,11,13,199.0,19.0,50.0,16.0,57.0,45.0,9.0,4.0,0.0,7.0,3.0,2.0,8.0,7.0,238.0,5.0,4.0,30.0,3.0,2.0,109.0,19.0,16.0,9.0,2.0,863.0,11.0,1.0
pro sulla,524,25,8,2,15,106.0,6.0,28.0,11.0,42.0,38.0,2.0,1.0,3.0,11.0,3.0,2.0,5.0,7.0,126.0,6.0,3.0,15.0,0.0,2.0,47.0,7.0,11.0,8.0,1.0,491.0,8.0,1.0
pro tullio,301,88,22,4,12,15.0,8.0,6.0,6.0,13.0,15.0,2.0,1.0,1.0,7.0,2.0,2.0,7.0,5.0,47.0,2.0,2.0,13.0,0.0,0.0,28.0,2.0,15.0,2.0,1.0,202.0,11.0,1.0
rhetorica ad herennium,2572,130,4,15,103,304.0,57.0,74.0,55.0,68.0,97.0,13.0,15.0,15.0,31.0,18.0,19.0,23.0,40.0,714.0,42.0,29.0,114.0,7.0,15.0,368.0,92.0,131.0,55.0,8.0,2404.0,38.0,1.0
timaeus,191,1,0,2,0,29.0,4.0,12.0,1.0,37.0,11.0,3.0,2.0,0.0,4.0,4.0,2.0,3.0,2.0,42.0,4.0,0.0,11.0,0.0,0.0,9.0,5.0,2.0,2.0,0.0,189.0,1.0,1.0
topica,573,14,1,0,11,54.0,12.0,18.0,12.0,80.0,44.0,6.0,5.0,2.0,8.0,6.0,5.0,14.0,13.0,103.0,8.0,5.0,31.0,4.0,2.0,60.0,15.0,21.0,7.0,5.0,540.0,19.0,1.0
tusculanae disputationes,3381,173,7,23,90,411.0,69.0,156.0,50.0,462.0,221.0,64.0,29.0,16.0,76.0,25.0,19.0,54.0,56.0,618.0,32.0,18.0,216.0,9.0,8.0,274.0,96.0,116.0,35.0,13.0,3143.0,65.0,1.0
