title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
pro flacco,668,61,14,8,24,97.0,11.0,43.0,8.0,43.0,42.0,6.0,3.0,1.0,6.0,7.0,5.0,10.0,9.0,184.0,5.0,4.0,25.0,0.0,0.0,53.0,9.0,16.0,4.0,1.0,592.0,15.0,1.0
pro fonteio,223,43,8,4,7,41.0,5.0,13.0,3.0,10.0,12.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,7.0,41.0,1.0,0.0,9.0,1.0,1.0,15.0,3.0,4.0,2.0,0.0,176.0,4.0,1.0
pro lege manilia,239,14,5,1,8,70.0,5.0,25.0,4.0,9.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,68.0,2.0,0.0,4.0,0.0,0.0,19.0,3.0,1.0,0.0,0.0,225.0,0.0,1.0
pro ligario,190,5,2,0,3,24.0,4.0,15.0,1.0,24.0,19.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,4.0,42.0,1.0,2.0,10.0,0.0,1.0,14.0,2.0,4.0,3.0,1.0,180.0,5.0,1.0
pro marcello,116,4,3,0,1,13.0,3.0,8.0,1.0,22.0,6.0,6.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,26.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,112.0,0.0,1.0
pro milone,483,34,12,1,21,74.0,4.0,26.0,6.0,53.0,31.0,3.0,3.0,0.0,10.0,8.0,2.0,9.0,4.0,116.0,5.0,1.0,19.0,1.0,1.0,40.0,13.0,7.0,4.0,1.0,441.0,8.0,1.0
pro murena,499,39,18,7,14,74.0,14.0,35.0,13.0,38.0,37.0,3.0,1.0,1.0,10.0,4.0,3.0,12.0,4.0,117.0,5.0,2.0,18.0,0.0,1.0,38.0,6.0,13.0,2.0,2.0,453.0,7.0,1.0
pro plancio,517,21,8,3,10,97.0,12.0,38.0,8.0,35.0,22.0,4.0,1.0,1.0,9.0,4.0,4.0,10.0,2.0,174.0,5.0,5.0,11.0,0.0,1.0,25.0,9.0,10.0,4.0,0.0,491.0,5.0,1.0
pro quinctio,489,59,17,3,26,60.0,11.0,11.0,14.0,36.0,28.0,2.0,0.0,1.0,14.0,3.0,2.0,11.0,10.0,90.0,6.0,4.0,24.0,1.0,0.0,53.0,12.0,11.0,5.0,1.0,410.0,20.0,1.0
pro rabirio perduellionis reo,141,22,9,4,4,27.0,2.0,5.0,0.0,3.0,16.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,34.0,2.0,0.0,4.0,0.0,0.0,14.0,3.0,1.0,0.0,0.0,118.0,1.0,1.0
pro rabirio postumo,229,21,2,9,10,28.0,7.0,7.0,2.0,24.0,18.0,0.0,0.0,0.0,4.0,3.0,2.0,6.0,6.0,44.0,0.0,0.0,12.0,0.0,0.0,24.0,7.0,5.0,4.0,1.0,204.0,4.0,1.0
pro rege deiotaro,195,7,3,1,3,41.0,4.0,11.0,1.0,34.0,16.0,6.0,2.0,0.0,1.0,0.0,1.0,4.0,2.0,41.0,0.0,0.0,5.0,0.0,0.0,10.0,1.0,5.0,1.0,0.0,186.0,2.0,1.0
pro roscio amerino,678,73,32,8,21,62.0,21.0,30.0,15.0,45.0,56.0,13.0,1.0,0.0,15.0,8.0,7.0,13.0,9.0,145.0,10.0,6.0,27.0,1.0,3.0,53.0,10.0,20.0,11.0,6.0,587.0,18.0,1.0
pro roscio comoedo,404,52,11,6,31,47.0,8.0,9.0,10.0,15.0,20.0,1.0,1.0,3.0,3.0,5.0,3.0,2.0,9.0,61.0,7.0,2.0,13.0,0.0,2.0,72.0,13.0,29.0,5.0,2.0,342.0,10.0,1.0
pro scauro,198,38,7,1,8,34.0,3.0,12.0,2.0,12.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,46.0,1.0,2.0,1.0,1.0,1.0,20.0,1.0,5.0,1.0,1.0,152.0,8.0,1.0
pro sestio,611,23,5,6,12,137.0,17.0,40.0,9.0,38.0,24.0,5.0,3.0,0.0,3.0,1.0,2.0,6.0,4.0,163.0,4.0,1.0,12.0,1.0,1.0,77.0,13.0,11.0,7.0,2.0,581.0,7.0,1.0
pro sulla,406,23,7,2,14,89.0,6.0,24.0,5.0,28.0,25.0,2.0,1.0,2.0,8.0,2.0,1.0,3.0,6.0,98.0,6.0,3.0,13.0,0.0,1.0,33.0,6.0,7.0,8.0,0.0,377.0,6.0,1.0
pro tullio,252,80,17,3,10,13.0,6.0,6.0,3.0,12.0,9.0,2.0,1.0,1.0,7.0,3.0,1.0,5.0,3.0,39.0,2.0,1.0,11.0,0.0,0.0,21.0,2.0,13.0,2.0,1.0,164.0,8.0,1.0
rhetorica ad herennium,1553,41,3,8,23,193.0,45.0,58.0,42.0,30.0,48.0,5.0,4.0,6.0,15.0,9.0,16.0,13.0,23.0,507.0,24.0,15.0,47.0,1.0,10.0,224.0,58.0,77.0,29.0,5.0,1504.0,8.0,1.0
timaeus,147,1,0,2,0,20.0,3.0,11.0,1.0,32.0,6.0,2.0,2.0,0.0,3.0,2.0,1.0,3.0,2.0,31.0,2.0,0.0,10.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,145.0,1.0,1.0
topica,335,3,1,0,0,35.0,6.0,11.0,7.0,54.0,27.0,5.0,3.0,1.0,6.0,2.0,6.0,10.0,6.0,68.0,4.0,1.0,15.0,3.0,0.0,35.0,6.0,7.0,6.0,2.0,326.0,6.0,1.0
tusculanae disputationes,2493,150,4,18,75,317.0,48.0,123.0,35.0,360.0,158.0,56.0,20.0,13.0,51.0,19.0,16.0,34.0,38.0,465.0,18.0,11.0,162.0,6.0,4.0,186.0,58.0,73.0,25.0,8.0,2304.0,39.0,1.0
