title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
philippicae 11,746,93,30,1,62,94.0,8.0,28.0,16.0,66.0,27.0,11.0,2.0,3.0,7.0,3.0,2.0,10.0,12.0,122.0,12.0,8.0,35.0,1.0,5.0,82.0,16.0,36.0,7.0,2.0,615.0,38.0,1.0
philippicae 12,606,73,20,2,51,65.0,8.0,15.0,11.0,68.0,32.0,6.0,2.0,2.0,14.0,8.0,0.0,9.0,4.0,79.0,7.0,4.0,33.0,0.0,2.0,66.0,11.0,26.0,8.0,7.0,487.0,46.0,1.0
philippicae 13,962,120,32,3,85,113.0,16.0,38.0,14.0,110.0,31.0,10.0,5.0,3.0,11.0,4.0,2.0,11.0,6.0,152.0,10.0,7.0,42.0,2.0,4.0,102.0,24.0,42.0,13.0,3.0,775.0,67.0,1.0
philippicae 14,544,53,18,3,32,71.0,10.0,24.0,8.0,47.0,21.0,3.0,1.0,3.0,3.0,2.0,3.0,6.0,9.0,107.0,4.0,4.0,17.0,1.0,2.0,79.0,12.0,14.0,9.0,1.0,461.0,30.0,1.0
philippicae 2,2119,250,63,1,186,249.0,45.0,92.0,43.0,161.0,90.0,24.0,7.0,4.0,20.0,14.0,13.0,22.0,19.0,352.0,36.0,27.0,89.0,6.0,13.0,249.0,50.0,89.0,20.0,3.0,1737.0,132.0,1.0
philippicae 3,642,71,35,0,36,73.0,10.0,29.0,10.0,57.0,29.0,7.0,5.0,3.0,11.0,1.0,4.0,3.0,6.0,106.0,9.0,5.0,32.0,2.0,4.0,77.0,14.0,31.0,13.0,1.0,542.0,29.0,1.0
philippicae 4,276,49,9,0,40,36.0,4.0,4.0,4.0,26.0,12.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,54.0,3.0,3.0,7.0,0.0,0.0,20.0,5.0,15.0,2.0,1.0,206.0,21.0,1.0
philippicae 5,916,121,37,5,79,118.0,15.0,35.0,11.0,71.0,39.0,9.0,5.0,4.0,8.0,4.0,6.0,11.0,2.0,141.0,9.0,5.0,44.0,2.0,8.0,112.0,19.0,45.0,11.0,1.0,735.0,60.0,1.0
philippicae 6,355,47,13,1,33,53.0,5.0,13.0,4.0,27.0,13.0,5.0,0.0,1.0,5.0,1.0,5.0,2.0,5.0,60.0,5.0,4.0,11.0,1.0,0.0,35.0,6.0,22.0,4.0,1.0,288.0,20.0,1.0
philippicae 7,432,48,11,0,37,42.0,3.0,10.0,6.0,39.0,32.0,6.0,3.0,3.0,6.0,4.0,0.0,9.0,2.0,65.0,5.0,2.0,18.0,0.0,0.0,59.0,12.0,28.0,3.0,0.0,357.0,27.0,1.0
philippicae 8,579,88,29,0,59,77.0,6.0,16.0,9.0,44.0,34.0,6.0,2.0,2.0,6.0,5.0,2.0,5.0,7.0,79.0,7.0,2.0,24.0,0.0,2.0,77.0,12.0,30.0,4.0,2.0,460.0,31.0,1.0
philippicae 9,223,32,22,0,10,29.0,4.0,10.0,2.0,20.0,9.0,2.0,0.0,2.0,4.0,3.0,0.0,1.0,1.0,47.0,1.0,3.0,12.0,0.0,1.0,20.0,4.0,5.0,2.0,2.0,184.0,7.0,1.0
philosophicorum librorum frr,126,19,2,1,16,10.0,4.0,4.0,2.0,10.0,7.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,17.0,1.0,1.0,6.0,0.0,1.0,8.0,6.0,7.0,3.0,0.0,103.0,4.0,1.0
post reditum ad populum,439,76,22,10,44,60.0,4.0,25.0,5.0,18.0,8.0,3.0,1.0,2.0,1.0,3.0,3.0,4.0,6.0,97.0,5.0,4.0,22.0,5.0,2.0,39.0,9.0,16.0,6.0,1.0,349.0,14.0,1.0
post reditum in senatu,710,68,31,4,33,93.0,15.0,38.0,11.0,39.0,27.0,6.0,1.0,1.0,6.0,2.0,3.0,5.0,10.0,152.0,8.0,5.0,29.0,1.0,2.0,99.0,15.0,29.0,8.0,0.0,605.0,37.0,1.0
pro archia,430,57,15,3,39,62.0,7.0,21.0,10.0,31.0,17.0,1.0,0.0,2.0,3.0,5.0,1.0,6.0,4.0,87.0,6.0,3.0,18.0,0.0,1.0,53.0,9.0,8.0,3.0,0.0,358.0,15.0,1.0
pro balbo,1150,201,67,16,115,163.0,16.0,37.0,20.0,52.0,38.0,6.0,4.0,0.0,7.0,4.0,7.0,3.0,12.0,269.0,8.0,8.0,35.0,1.0,3.0,100.0,28.0,59.0,15.0,2.0,897.0,52.0,1.0
